ABT
NOVL
GLK.1
AMGN
FMCC
AGN.2
KRB
LIN
JAVA
IPG
RAL.
HCA
COST
WB.1
GOLD
BR.2
CSCO
CMCSA
EMN
KEY
UNM
MSFT
LUV
UNH
CBS
SIAL
MU
FDC
NCC
DUK6
AT.2
GPU.
BSX
AMAT
BK
CAR
L
ETS
DRI
TLAB
ALL
FCX
WLL.1
MS
USB.1
M
PPL
CMA
HUM
LSI.1
HIG
FITB
EMC
MCIP
AON
TUP
MTG
DELL
LU
IMS
MBI
GDT
TMO
AZO
EHC
CNO
PTC
ADBE
CAH
SCHW
PVN
CFC.3
EFX
WAMUQ
APA
APC
PGR
HBAN
STT
IHRTQ
KLAC
YUM
SNV
BBT
CINF
OMC
LEHMQ
BIG
SUB.2
NTRS
SEE
NXTL
GTW
BEN
MAR
COF
BSC.1
NAVI
DG
WM
EDS.
KSS
RF
HCR
PAYX
UPC.
BMC
AES
PSFT.
SPLS
CCEP
SWY
DHR
PCS.1
CCL
SLR
USB
CPWR.1
TWX
MCK
SOTR
ASO.1
CTL
AGN
CMS
AFL
APTV
WLP.1
ODP
NTAP
BBY
VMC
QCOM
ADCT
AW
COC1
LXK
TOS.1
GLBC
SXCL
BBBY
PNW
ADI
TROW
LEG
EP
CMVT
PTV
XLNX
TER
0573B
CTXS
MOLX
OK.2
AABA
RIG
NCR
HOG
CNXT.1
BGEN
TSG.2
VRTS.1
LLTC
ALTR.1
SAPE
SEBL
MXIM
APCC.
A
SBUX
CVG
MEDI
CF.6
NVLS.1
TIF
SANM
VC
MERQ
BRCM
JNS
CIT.1
VIAV
PALM
KSE
DVN
5933B
MCO
DYN
KG
NBR
PWER
NI
EOG
BVSN
HOT
FRX
CHIR.1
CPN
RHI
INTU
MET
SBL.2
AMBC
AYE
SYK
VTSS
KMI
QLGC
AMCC
NE
JBL
5952B
FTR
CTAS
FISV
CE.2
GEN.3
PBG
MWW
ZION
JHF
COL
AWE.2
PMCS
FDO
ZBH
ABC
CIEN
IGT.1
XL
IMNX
EOP
TE
HMA
NVDA
EQR
GENZ
JNY
WAT
PCL
CB
RATL
MI.1
FHN
TT.2
BJS.1
APOL
SPG
NFB
UPS
EA
EBAY
GS
PRU
PFG
0139A
ANTM
MON
TRV
RAI
CMCSA
DGX
AN
AIV
MKC
SYMC
FII
PLD
MHS
ESRX
BIIB
MTB
CMX.1
ETFC
ACS
MYL
VLO
HSP
GILD
STD2
FSH.2
TPR
CIT
LH
LLL
BX1
FOXA
BBVA1
ASN
XTO
NOV
SHLDQ
STZ
DHI
WFT
TSN
VNO
MUR
PSA
CVH
AMP
LEN
PDCO
AMZN
GNW
SSP
VIAB
WFM
EL
VRSN
HAR
BRL
CHK
KIM
BXP
GOOGL
DF
SNDK
LM
EQ.2
JNPR
CBH.1
CNX
WIN
RLGY
WYND
CME
WU
SII
CELG
FIS
CBRE
CTSH
BTU
IAC
STR
DTV.2
TEX
SE.7
ESV
AVB
RL
VAR
HCBK
WEC3
CHRW
HST
SITC
ANF
MDLZ
AIZ
SUNEQ
PCP
DFS
GGP
COV
TEL
ACAS
AKAM
JEF
MCHP
ICE
ANDV
TDC
EXPE
NBL
EXPD
NYX
JEC
TIE
POM
MTW
AMT
GME
RRC
GHC
TSS
CAM
HCP
PM
ISRG
SWN
LO
COG
MEE
AKS
SNI
MA
DVA
IVZ
CF
FAST
CRM
HRS
PXD
APH
FLS
DPS
NDAQ
WEC
SJM
PBCT
XRAY
WYNN
CEPH
SRCL
LIFE.3
DNB
RSG
EQT
MFE
FLIR
OI
SCG
IRM
WELL
DO
HRL
VTR
ES
ORLY
TWC
DNR
FTI.1
ATGE
PCS
WDC
PWR
RHT
FMC
CFN
ARG
FSLR
BKNG
ROST
V
LDOS
CLF
MJN
ROP
NRG
URBN
BRK.B
HP
DISCA
OKE
CERN
KMX
QEP
CB
TYC
IR
NFX
FFIV
NFLX
ATUS
MMI.3
NE
JOY
COV
EW
BLK
CMG
ANRZQ
MPC
ACN
MOS
TEL
XYL
CBE
SO7
PRGO
BWA
DLTR
TRIP
WPX
CCI
FOSL
PSX
KMI
ALXN
LRCX
MNST
STX
ESV
LYB
PNR
ADT.4
KRFT
PETM
DG
GRMN
APTV
ABBV
PVH
REGN
MAC
KSU
GM
ZTS
NWSA
NLSN
DAL
AME
VRTX
RIG
CPRI
ALLE
GGP
MHK
ADS
FB
TSCO
KDP
ESS
GOOGL
UAA
AVGO
XEC
AMG
MLM
DISCA
MNK
UHS
URI
LVLT
RCL
HCA
ENDP
SWKS
HSIC
AAL
SLG
EQIX
HBI
O
QRVO
JBHT
BXLT
WRK
CPGX
KHC
AAP
PYPL
SIG
ATVI
UAL
FOXA
NWSA
CMCSA
VRSK
HPE
FCPT
SYF
ILMN
CSRA
CHD
WLTW
EXR
FRT
CFG
CXO
AWK
UDR
HOLX
CNC
FL
UAA
ULTA
GPN
AYI
ALK

NGVT
DLR
LKQ
AJG
TDG
FBHS
LNT
ALB
FTV
MTD

CHTR
COO
COTY
VSM
ASIX
ADNT
ARNC
AA
QCP
YUMC
LW
MAA
EVHC
CNDT
IDXX
FTI
VREX
BIVV
INCY
CBOE
REG
DISH
SNPS
AMD
RJF
ARE
DXC
IT
CARS
INFO
HLT
RE
ANSS
ALGN
BHI
BHGE
JBGS
AOS
DRE
MGM
RMD
PKG
BHF
IQV
SBAC
CDNS
NCLH
DLPH
HII
IPGP
SIVB
NKTR
TTWO
MSCI
NVT
APY
ABMD
PRSP
EVRG
TWTR
HFC
BR
FLT
CPRT
ANET
WCG
ROL
FTNT
KEYS
JKHY
MXIM
LW
FANG
CE
FRC
TFX
