caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2001/03/23,0.019876,0.019876,0.018298,0.018298,10061709300.00,500,9865053770.00,500,1139.83,0.019909
2001/03/26,0.011112,0.011112,0.013148,0.013148,10173510500.00,500,10061709300.00,500,1152.69,0.011282
2001/03/27,0.025461,0.025461,0.014384,0.014384,10432533600.00,500,10173510500.00,500,1182.17,0.025575
2001/03/28,-0.024266,-0.024362,-0.020908,-0.021059,10178381600.00,500,10432533600.00,500,1153.29,-0.024430
2001/03/29,-0.004697,-0.004722,-0.003041,-0.003086,10130473000.00,500,10178381600.00,500,1147.95,-0.004630
2001/03/30,0.010810,0.010810,0.009753,0.009753,10251553800.00,500,10130473000.00,500,1160.33,0.010784
2001/04/02,-0.012619,-0.012619,-0.013305,-0.013305,10130070000.00,500,10258959000.00,500,1145.87,-0.012462
2001/04/03,-0.034401,-0.034401,-0.033675,-0.033675,9788838070.00,500,10141028600.00,500,1106.46,-0.034393
2001/04/04,-0.002850,-0.003046,0.000748,0.000638,9759024380.00,500,9788838070.00,500,1103.25,-0.002901
2001/04/05,0.043928,0.043914,0.042075,0.042063,10187585400.00,500,9759024380.00,500,1151.44,0.043680
2001/04/06,-0.020124,-0.020359,-0.025141,-0.025254,9980170260.00,500,10187585400.00,500,1128.43,-0.019984
2001/04/09,0.007990,0.007989,0.012383,0.012379,10059898300.00,500,9980170260.00,500,1137.59,0.008117
2001/04/10,0.027424,0.027306,0.031360,0.031269,10334551200.00,500,10059898300.00,500,1168.38,0.027066
2001/04/11,-0.002032,-0.002044,-0.003761,-0.003817,10313430200.00,500,10334551200.00,500,1165.89,-0.002131
2001/04/12,0.015173,0.015167,0.013963,0.013941,10471820100.00,500,10313430200.00,500,1183.50,0.015104
2001/04/16,-0.003394,-0.003394,-0.003616,-0.003616,10436276200.00,500,10471820100.00,500,1179.68,-0.003228
2001/04/17,0.010463,0.010463,0.010639,0.010639,10545470100.00,500,10436276200.00,500,1191.81,0.010282
2001/04/18,0.039393,0.039336,0.038995,0.038969,10960283000.00,500,10545470100.00,500,1238.16,0.038890
2001/04/19,0.012893,0.012882,0.009365,0.009351,11101473100.00,500,10960283000.00,500,1253.70,0.012551
2001/04/20,-0.008665,-0.008667,-0.008989,-0.008991,11005252000.00,500,11101473100.00,500,1242.98,-0.008551
2001/04/23,-0.015198,-0.015198,-0.013237,-0.013237,10838162200.00,500,11005252000.00,500,1224.36,-0.014980
2001/04/24,-0.012301,-0.012309,-0.005819,-0.005825,10703344500.00,500,10838162200.00,500,1209.47,-0.012161
2001/04/25,0.015993,0.015986,0.012962,0.012923,10874395400.00,500,10703344500.00,500,1228.75,0.015941
2001/04/26,0.004864,0.004774,0.005728,0.005597,10926306000.00,500,10874395400.00,500,1234.52,0.004696
2001/04/27,0.015063,0.015029,0.016689,0.016610,11091307900.00,500,10926306000.00,500,1253.05,0.015010
2001/04/30,-0.002827,-0.002877,0.002731,0.002703,11089346400.00,500,11091307900.00,500,1249.46,-0.002865
2001/05/01,0.013680,0.013675,0.008766,0.008752,11241011900.00,500,11089346400.00,500,1266.44,0.013590
2001/05/02,0.000995,0.000906,0.001727,0.001660,11251191600.00,500,11241011900.00,500,1267.43,0.000782
2001/05/03,-0.014686,-0.014807,-0.015258,-0.015404,11084649500.00,500,11251191600.00,500,1248.58,-0.014873
2001/05/04,0.014492,0.014463,0.012398,0.012359,11254219800.00,500,11084649500.00,500,1266.61,0.014440
2001/05/07,-0.002508,-0.002533,-0.003290,-0.003371,11225714500.00,500,11254219800.00,500,1263.51,-0.002447
2001/05/08,-0.001616,-0.001708,0.000481,0.000357,11206655800.00,500,11225714500.00,500,1261.20,-0.001828
2001/05/09,-0.004568,-0.004691,-0.001722,-0.001842,11154087700.00,500,11206655800.00,500,1255.54,-0.004488
2001/05/10,-0.000072,-0.000215,0.002746,0.002715,11151692100.00,500,11154087700.00,500,1255.18,-0.000287
2001/05/11,-0.007488,-0.007582,-0.004855,-0.004941,11067206900.00,500,11151692100.00,500,1245.67,-0.007577
2001/05/14,0.002760,0.002687,0.001281,0.001168,11105282600.00,500,11072541400.00,500,1248.92,0.002609
2001/05/15,0.000335,0.000329,0.002841,0.002810,11109360400.00,500,11105282600.00,500,1249.44,0.000416
2001/05/16,0.028754,0.028594,0.029120,0.028991,11427021400.00,500,11109360400.00,500,1284.99,0.028453
2001/05/17,0.002819,0.002810,0.007396,0.007341,11459132000.00,500,11427021400.00,500,1288.49,0.002724
2001/05/18,0.002578,0.002476,0.001940,0.001906,11487509100.00,500,11459132000.00,500,1291.96,0.002693
2001/05/21,0.016336,0.016336,0.018030,0.018030,11675173400.00,500,11487509100.00,500,1312.83,0.016154
2001/05/22,-0.002543,-0.002547,-0.000843,-0.000849,11645438600.00,500,11675173400.00,500,1309.38,-0.002628
2001/05/23,-0.015468,-0.015505,-0.016617,-0.016771,11464877500.00,500,11645438600.00,500,1289.05,-0.015526
2001/05/24,0.003250,0.003226,0.000975,0.000881,11501967300.00,500,11464877500.00,500,1293.17,0.003196
2001/05/25,-0.011901,-0.011904,-0.007776,-0.007781,11365230700.00,500,11501967300.00,500,1277.89,-0.011816
2001/05/29,-0.007846,-0.007906,-0.008827,-0.008926,11275381900.00,500,11365230700.00,500,1267.93,-0.007794
2001/05/30,-0.015481,-0.015720,-0.016831,-0.017164,11098127500.00,500,11275381900.00,500,1248.08,-0.015655
2001/05/31,0.006323,0.006243,0.008980,0.008947,11160443700.00,500,11098127500.00,500,1255.82,0.006202
2001/06/01,0.003923,0.003921,0.004529,0.004515,11204212200.00,500,11160443700.00,500,1260.67,0.003862
2001/06/04,0.005016,0.004998,0.002681,0.002656,11255888500.00,500,11200156200.00,500,1267.11,0.005108
2001/06/05,0.013073,0.013064,0.015304,0.015285,11402935800.00,500,11255888500.00,500,1283.57,0.012990
2001/06/06,-0.010253,-0.010383,-0.009375,-0.009593,11284726900.00,500,11402935800.00,500,1270.03,-0.010549
2001/06/07,0.005412,0.005387,0.005658,0.005611,11345521000.00,500,11284726900.00,500,1276.96,0.005457
2001/06/08,-0.009416,-0.009421,-0.007457,-0.007466,11237015900.00,500,11345521000.00,500,1264.96,-0.009397
2001/06/11,-0.008444,-0.008450,-0.011158,-0.011167,11142066100.00,500,11237015900.00,500,1254.39,-0.008356
2001/06/12,0.001065,0.001057,0.000049,0.000048,11154725500.00,500,11142066100.00,500,1255.85,0.001164
2001/06/13,-0.011144,-0.011376,-0.008671,-0.008949,11027833000.00,500,11154725500.00,500,1241.60,-0.011347
2001/06/14,-0.017572,-0.017587,-0.021277,-0.021343,10833884800.00,500,11027833000.00,500,1219.87,-0.017502
2001/06/15,-0.004627,-0.004630,-0.001319,-0.001331,10783733600.00,500,10833884800.00,500,1214.36,-0.004517
2001/06/18,-0.004739,-0.004761,-0.006034,-0.006049,10732400400.00,500,10783733600.00,500,1208.43,-0.004883
