tickers,Symbol,MarketCap,Sector,Industry
CAG,CAG,11296032594.36,Consumer Non-Durables,Packaged Foods
CAH,CAH,15809783441.65,Health Care,Other Pharmaceuticals
CAR,CAR,2748902041.0,Consumer Services,Rental/Leasing Companies
CARS,CARS,1647005810.04,Technology,EDP Services
CAT,CAT,79119860192.86,Capital Goods,Construction/Ag Equipment/Trucks
CB,CB,61588357057.36,Finance,Property-Casualty Insurers
CBOE,CBOE,10756963750.0,,
CBRE,CBRE,16931524600.34,Finance,Real Estate
CBS,CBS,18943145436.57,Consumer Services,Broadcasting
CCI,CCI,49462618199.66,Consumer Services,Real Estate Investment Trusts
CCL,CCL,41563570198.08,Consumer Services,Marine Transportation
CDNS,CDNS,16403735880.0,Technology,Computer Software: Prepackaged Software
CE,CE,13168692027.6,Basic Industries,Major Chemicals
CELG,CELG,60260066621.72,Health Care,Major Pharmaceuticals
CERN,CERN,18147992802.6,Technology,EDP Services
CF,CF,9757862971.08,Basic Industries,Agricultural Chemicals
CFG,CFG,17034430222.0,Finance,Major Banks
CHD,CHD,16126191908.28,Basic Industries,Package Goods/Cosmetics
CHK,CHK,5115888380.03,Energy,Oil & Gas Production
CHRW,CHRW,12402896248.6,Transportation,Oil Refining/Marketing
CHTR,CHTR,78103122776.64,Consumer Services,Television Services
CI,CI,67873640889.25,Health Care,Medical Specialities
CIEN,CIEN,6684936339.6,Public Utilities,Telecommunications Equipment
CINF,CINF,14161972000.0,Finance,Property-Casualty Insurers
CIT,CIT,5166460840.0,Finance,Major Banks
CL,CL,56870648604.0,Consumer Non-Durables,Package Goods/Cosmetics
CLF,CLF,3186495391.86,Basic Industries,Precious Metals
CLX,CLX,20224324804.2,Consumer Durables,Specialty Chemicals
CMA,CMA,13810784646.04,Finance,Major Banks
CMCSA,CMCSA,176965134610.2,Consumer Services,Television Services
CME,CME,65326469746.39,Finance,Investment Bankers/Brokers/Service
CMG,CMG,16917239310.1,Consumer Services,Restaurants
CMI,CMI,24294695534.34,Energy,Industrial Machinery/Components
CMS,CMS,15331945680.5,Public Utilities,Power Generation
CNC,CNC,25343871231.88,Health Care,Medical Specialities
CNDT,CNDT,3116763500.0,Miscellaneous,Business Services
CNO,CNO,2791491119.32,Finance,Accident &Health Insurance
CNP,CNP,15120944145.79,Public Utilities,Electric Utilities: Central
CNX,CNX,2191604534.6,Energy,Oil & Gas Production
COF,COF,39423625506.98,Finance,Major Banks
COG,COG,10882979969.28,Energy,Oil & Gas Production
COO,COO,14341416543.9,Health Care,Ophthalmic Goods
COP,COP,78194474199.42,Energy,Integrated oil Companies
COST,COST,96661230492.32,Consumer Services,Department/Specialty Retail Stores
COTY,COTY,8323926219.32,Consumer Non-Durables,Package Goods/Cosmetics
CPB,CPB,10942405022.4,Consumer Non-Durables,Packaged Foods
CPRI,CPRI,7054665493.53,Consumer Non-Durables,Apparel
