date,ticker,dailySpread
20090519,ILMN,0.00026864
20090519,IMS,0.00579710
20090519,INCY,0.00357782
20090519,INTC,0.00063877
20090519,INTU,0.00039738
20090519,IP,0.00000000
20090519,IPG,0.00000000
20090519,IPGP,0.00199005
20090519,IR,0.00090744
20090519,IRM,0.00106895
20090519,ISRG,0.00187006
20090519,IT,0.00067958
20090519,ITG,0.00047495
20090519,ITI,0.00749064
20090519,ITT,
20090519,ITW,0.00179051
20090519,IVZ,0.00070796
20090519,JAVA,0.00222717
20090519,JBHT,0.00071276
20090519,JBL,0.00124922
20090519,JCI,0.00000000
20090519,JCP,0.00072648
20090519,JDSU,0.00200602
20090519,JEC,0.00000000
20090519,JEF,0.00051666
20090519,JKHY,0.00054363
20090519,JNJ,0.00035817
20090519,JNPR,0.00044218
20090519,JNS,0.00098377
20090519,JNY,0.00110558
20090519,JOYG,0.00064164
20090519,JPM,0.00055788
20090519,JWN,0.00218198
20090519,K,0.00022875
20090519,KBH,0.00061293
20090519,KEY,0.00175593
20090519,KFT,0.00079808
20090519,KG,0.00106895
20090519,KIM,0.00090375
20090519,KLAC,0.00148976
20090519,KMB,
20090519,KMX,0.00094652
20090519,KO,0.00021425
20090519,KR,0.00046264
20090519,KSS,0.00022839
20090519,KSU,0.00061747
20090519,L,0.00301773
20090519,LB,0.00124301
20090519,LEE,0.00772201
20090519,LEG,0.00134228
20090519,LEN,0.00301659
20090519,LH,0.00145502
20090519,LIZ,0.00208986
20090519,LKQX,0.00064998
20090519,LLL,0.00013509
20090519,LLTC,0.00093240
20090519,LLY,0.00086969
20090519,LM,0.00052151
20090519,LMT,0.00161320
20090519,LNC,0.00398520
20090519,LNT,0.00082713
20090519,LO,0.00059277
20090519,LOW,0.00049913
20090519,LPX,0.00231750
20090519,LRCX,0.00152730
20090519,LTD,0.00251362
20090519,LUK,0.00047744
20090519,LUV,0.00141543
20090519,LVLT,0.00947867
20090519,LXK,0.00058224
20090519,M,0.00081268
20090519,MA,0.00060024
20090519,MAA,0.00164654
20090519,MAC,0.00758681
20090519,MAR,0.00044534
20090519,MAS,0.00097800
20090519,MAT,0.00067545
20090519,MBI,0.00316957
20090519,MCD,0.00037154
20090519,MCHP,0.00144893
20090519,MCK,0.00077170
20090519,MCO,0.00000000
20090519,MDP,0.00036186
20090519,MDR,0.00050314
20090519,MDT,0.00126064
20090519,MEE,0.00096993
20090519,MET,0.00095253
20090519,MFE,0.00077469
20090519,MGM,0.00238663
20090519,MHK,0.00050088
20090519,MHP,
20090519,MHS,0.00043975
20090519,MJN,0.00068004
20090519,MKC,0.00032315
20090519,MLM,0.00059520
20090519,MMC,0.00052645
20090519,MMM,0.00033939
20090519,MO,0.00059506
20090519,MOLX,0.00127307
20090519,MON,0.00011161
20090519,MOS,0.00052775
20090519,MOT,0.00160643
20090519,MRK,
20090519,MRO,0.00000000
20090519,MS,0.00034524
20090519,MSCS,0.00452830
20090519,MSFT,0.00049273
20090519,MTB,0.00039017
20090519,MTD,0.00081103
20090519,MTG,0.00201410
20090519,MTW,0.00158103
20090519,MU,0.00205973
20090519,MUR,0.00214056
20090519,MWV,0.00124378
20090519,MWW,0.00073556
20090519,MXB,0.00139502
20090519,MXIM,0.00134048
20090519,MXM,0.05488851
20090519,MYL,0.00155885
20090519,,
20090519,NAV,0.00098184
20090519,NAVI,0.02898551
20090519,NBL,0.00175285
20090519,NBR,0.00058224
20090519,NCR,0.00092293
20090519,NDAQ,0.00055850
20090519,NE,0.00100756
20090519,NEM,0.00069053
20090519,NFLX,0.00151515
20090519,NFX,0.00089193
20090519,NI,0.00186916
20090519,NKE,0.00095942
20090519,NKTR,0.00147820
20090519,NOC,0.00124275
20090519,NOV,0.00256739
20090519,NOVL,0.00249688
20090519,NRG,0.00050264
20090519,NSC,0.00055509
20090519,NTAP,0.00110742
20090519,NTRS,0.00133703
20090519,NU,0.00048228
20090519,NUE,0.00047881
20090519,NVDA,0.00105652
20090519,NWL,0.00091617
20090519,NWSA,0.00108755
20090519,NYT,0.00152788
20090519,NYX,0.00076365
20090519,O,0.00142823
20090519,ODP,0.00264201
20090519,OI,0.00111091
20090519,OKE,0.00107392
20090519,OMC,0.00126183
20090519,OMX,0.00128783
20090519,ORCL,0.00105374
20090519,ORLY,0.00026635
20090519,OXY,0.00064267
20090519,PALM,0.00085653
20090519,PAYX,0.00036583
20090519,PBCT,0.00062325
20090519,PBG,0.00000000
20090519,PBI,0.00046157
20090519,PCAR,0.00131536
20090519,PCG,0.00084282
20090519,PCH,0.00037587
20090519,PCL,0.00088928
20090519,PCLN,0.00096117
20090519,PCP,0.00292113
20090519,PCS,0.00056738
20090519,PDCO,0.00088067
20090519,PEG,0.00124185
20090519,PEP,
20090519,PETM,0.00087146
20090519,PFE,0.00066291
20090519,PFG,0.00579151
20090519,PG,
20090519,PGR,0.00060259
20090519,PH,0.00267082
20090519,PHM,0.00000000
20090519,PIR,0.01098901
20090519,PKG,0.00188383
20090519,PKI,0.00059259
20090519,PLD,0.00125078
20090519,PLI,0.05128205
20090519,PLL,0.00154619
20090519,PM,0.00023688
20090519,PMCS,0.00136147
20090519,PMTC,0.00087989
20090519,PNC,
20090519,PNR,0.00039131
20090519,PNW,0.00151688
20090519,POM,0.00080873
20090519,PPG,0.00022384
20090519,PPL,
20090519,PRGO,0.00110844
20090519,PRSP,0.00176274
20090519,PRU,0.00095261
20090519,PSA,0.00015460
20090519,PTC,0.00306279
20090519,PTV,0.00406412
20090519,PVH,0.00178987
20090519,PWER,0.00843882
20090519,PWR,0.00090827
20090519,PXD,0.00038117
20090519,QCOM,0.00141610
20090519,QLGC,0.00073937
20090519,R,0.00036397
20090519,RAI,0.00252143
20090519,RCL,0.00064164
20090519,RDC,0.00054540
20090519,RE,0.00133819
20090519,REG,0.00030821
20090519,REGN,0.00135227
20090519,RF,0.00190658
20090519,RFMD,0.00431965
20090519,RHI,0.00044179
20090519,RHT,0.00051773
20090519,RIG,0.00013848
20090519,RJF,0.00298418
20090519,RL,0.00316644
20090519,RLH,0.00875274
20090519,RMD,0.00078503
20090519,ROK,0.00090978
20090519,ROL,0.00059014
20090519,ROP,0.00133690
20090519,ROST,0.00081777
20090519,RRC,0.00095397
20090519,RRD,0.00300978
20090519,RSG,0.00000000
20090519,RTN,0.00202497
20090519,S,0.00181324
20090519,SAI,0.00000000
20090519,SANM,0.01680672
20090519,SAPE,0.00187793
20090519,SBAC,0.00208203
20090519,SBUX,0.00148920
20090519,SCG,0.00582691
20090519,SCHW,0.00000000
20090519,SEE,0.00051507
20090519,SGP,0.00042400
20090519,SHW,0.00070053
20090519,SIAL,0.00021832
20090519,SIG,0.00300210
