date,ticker,avgSpread30Days
20071031,JCI,0.00072494
20071031,WYN,
20071031,HIG,0.00091467
20071031,KR,0.00190583
20071031,CBE,0.00105028
20071031,DVN,0.00298117
20071031,AZO,0.00054684
20071031,MDT,0.00047568
20071031,APD,0.00205054
20071031,REGN,0.00142488
20071031,PBCT,0.00122584
20071031,NCC,0.00108633
20071031,VAR,0.00122551
20071031,MHS,0.00082097
20071031,PFG,0.00080951
20071031,TMO,0.00116327
20071031,URI,
20071031,KSS,0.00196662
20071031,IPGP,0.00193582
20071031,VNO,0.00103846
20071031,ED,0.00122910
20071031,PG,0.00023095
20071031,LTR,0.00088012
20071031,UA,0.00116713
20071031,HAR,0.00066955
20071031,SNPS,0.00069004
20071031,BEN,0.00276894
20071031,PTV,0.00094046
20071031,CVH,0.00101250
20071031,CEPH,0.00058397
20071031,IR,0.00146510
20071031,KFT,0.00058190
20071031,DDS,0.00275256
20071031,AAP,0.00090509
20071031,RMD,0.00115892
20071031,HAL,0.00089837
20071031,KBH,0.00129255
20071031,ECL,0.00064197
20071031,PPL,
20071031,RTN,0.00062240
20071031,SYK,0.00056192
20071031,AMB,0.00225626
20071031,THC,0.00306583
20071031,MCO,0.00103339
20071031,EBIX,0.00762441
20071031,UTX,0.00045640
20071031,TEL,0.00230910
20071031,GD,0.00113560
20071031,CEG,0.00087877
20071031,AMR,0.00157773
20071031,DDR,0.00106594
20071031,ITW,0.00140953
20071031,MOT,0.00120200
20071031,RRD,0.00117082
20071031,HRL,0.00100420
20071031,XOM,0.00058108
20071031,BK,0.00086348
20071031,MSI,0.02376459
20071031,MRO,
20071031,K,
20071031,JBL,0.00089899
20071031,AEP,0.00214474
20071031,ACAS,0.00055334
20071031,SWY,0.00078507
20071031,GRMN,0.00069857
20071031,QLGC,0.00085376
20071031,CERN,0.00071292
20071031,FMC,0.00132510
20071031,CLF,0.00128437
20071031,SYMC,0.00070705
20071031,SWKS,0.00151970
20071031,M,0.00114255
20071031,CMA,0.00211103
20071031,JBHT,0.00110494
20071031,T,0.00043630
20071031,TJX,0.00078291
20071031,PIR,0.00276307
20071031,ROP,0.00161183
20071031,GENZ,0.00054230
20071031,R,0.00178174
20071031,OI,0.00164741
20071031,COST,0.00050940
20071031,ORCL,0.00061423
20071031,IKN,0.00187400
20071031,O,0.00142031
20071031,DHR,0.00060861
20071031,PCL,0.00186939
20071031,ETFC,0.00104092
20071031,EQIX,0.00088216
20071031,DLX,0.00187570
20071031,MET,0.00058213
20071031,BLL,0.00141760
20071031,PLD,0.00112853
20071031,MON,0.00072808
20071031,NBR,0.00098234
20071031,NOC,0.00114288
20071031,AMG,0.00076331
20071031,BMS,0.00127506
20071031,ANF,0.00160132
20071031,DJ,0.00055324
20071031,RAI,0.00061493
20071031,S,0.00089775
20071031,GM,0.00050281
20071031,DNR,0.00112979
20071031,WWY,0.00106030
20071031,PKI,0.00088865
20071031,VC,0.00252882
20071031,SAPE,0.00208925
20071031,ALK,0.00116499
20071031,BDX,0.00222706
20071031,PTC,0.00405057
20071031,ROK,0.00111487
20071031,RL,0.00109084
20071031,CLX,0.00066682
20071031,MOS,0.00177968
20071031,RRC,
20071031,TCX,0.01553852
20071031,MSFT,0.00047257
20071031,ITI,0.01076926
20071031,JWN,0.00131129
20071031,HBAN,0.00089496
20071031,FISV,0.00050535
