date,ticker,volume
20180320,DG,2651948.00000000
20180320,DGX,853784.00000000
20180320,DHI,1316598.00000000
20180320,DHR,2328993.00000000
20180320,DIS,8330335.00000000
20180320,DISCA,7726325.00000000
20180320,DISH,3003754.00000000
20180320,DLPH,647193.00000000
20180320,DLR,882317.00000000
20180320,DLTR,2836074.00000000
20180320,DLX,261884.00000000
20180320,DNB,228107.00000000
20180320,DNR,4029372.00000000
20180320,DO,1457294.00000000
20180320,DOV,5028256.00000000
20180320,DPS,1479883.00000000
20180320,DRE,2391756.00000000
20180320,DRI,1925423.00000000
20180320,DTE,1820887.00000000
20180320,DUK,3888505.00000000
20180320,DVA,2680796.00000000
20180320,DVN,8607851.00000000
20180320,DWDP,10390941.00000000
20180320,DXC,1870130.00000000
20180320,DYN,2469782.00000000
